id,user_id,name,date,amount,recurring
138773,zzbtIcQJMquIiEOYTRIlEQKWqCcWSbLN,Amazon Prime,2024-07-08,15.98,1
2112,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,Empower,2024-10-09,8.0,1
2115,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,Empower,2024-12-15,8.0,1
2117,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,Empower,2025-01-10,8.0,1
2149,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,Ipsy,2023-05-17,16.22,1
2151,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,Ipsy,2023-07-09,16.22,1
2152,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,Ipsy,2023-08-01,16.22,1
2158,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,Ipsy,2023-11-11,16.22,1
2498,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,AT&T,2024-02-02,178.04,1
2592,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Apple,2023-10-03,9.99,1
3004,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Comcast,2023-07-11,100.0,1
3488,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Imi Motorsports Inc,2023-07-18,52.0,1
3936,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Progressive Insurance,2023-12-12,259.07,1
3984,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Root Insurance,2023-06-06,149.14,1
4164,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Ssp Waste Inc,2024-06-25,160.0,1
4166,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Ssp Waste Inc,2024-07-24,296.0,1
4167,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Ssp Waste Inc,2024-09-27,136.0,1
4540,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Xcel Energy,2023-09-07,181.45,1
4543,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Xcel Energy,2023-11-14,137.32,1
4601,AwmHOpTzPtMtEklhCUGeklczmNheYeBZ,Apple,2024-10-31,11.86,1
4602,AwmHOpTzPtMtEklhCUGeklczmNheYeBZ,Apple,2024-12-29,11.86,1
5176,BAjWKWXuBxADgBWXIUQQkDHHvNZmDXUD,Amazon Prime,2024-05-14,6.29,0
5467,BAjWKWXuBxADgBWXIUQQkDHHvNZmDXUD,ESPN+,2023-12-05,10.99,1
6556,BJDvQSOtUvdxctxBlAwGfCLbhsujJTYg,Apple,2023-07-15,14.99,1
7148,BJDvQSOtUvdxctxBlAwGfCLbhsujJTYg,HBO Max,2023-08-09,15.99,1
7150,BJDvQSOtUvdxctxBlAwGfCLbhsujJTYg,HBO Max,2023-10-10,15.99,1
7270,BJDvQSOtUvdxctxBlAwGfCLbhsujJTYg,Microsoft,2024-01-13,18.35,1
7271,BJDvQSOtUvdxctxBlAwGfCLbhsujJTYg,Microsoft,2024-02-10,18.35,1
7303,BJDvQSOtUvdxctxBlAwGfCLbhsujJTYg,Oconee Cnty Parks&rec,2024-03-05,10.26,1
7793,BJDvQSOtUvdxctxBlAwGfCLbhsujJTYg,Root Insurance,2024-02-05,208.03,1
7794,BJDvQSOtUvdxctxBlAwGfCLbhsujJTYg,Root Insurance,2024-03-01,162.66,1
8288,BOIvaZauUjTiGOyNbvHEFPclvepBaqRa,AAA Insurance,2023-06-14,101.84,1
10211,BQcyLdmAQcSWFBrAAdMZugxVHjNqUCUv,AT&T,2024-05-19,20.87,1
12614,DNnhJnMUwJQXtsIZMHSDVjDMyHPvSyTM,Klarna,2024-01-11,59.03,1
13052,DNnhJnMUwJQXtsIZMHSDVjDMyHPvSyTM,State Farm,2024-04-01,276.76,0
13055,DNnhJnMUwJQXtsIZMHSDVjDMyHPvSyTM,State Farm,2024-07-01,283.92,0
14493,EFEULcwXwcWTwZmddfjPTvBYubtpaeXD,Creative S,2023-04-12,84.0,1
